cycle_id,cycle_length,total_value,avg_value,value_std,value_consistency,total_duration_minutes,avg_interval_minutes,max_interval_minutes,min_interval_minutes,interval_std_minutes
7627746856200814883,3,1.226026,0.40867533333333333,0.2667416855415658,0.6526982760762801,1984396.8333333333,992198.4166666667,1937198.9833333334,47197.85,945000.5666666667
4727953611844529313,3,2.2033970000000003,0.7344656666666668,0.07699811604765983,0.10483555534612211,1756543.35,878271.675,1289931.6666666667,466611.68333333335,411659.9916666667
-4311672984151052288,3,1.164173,0.38805766666666663,0.27548785137924964,0.7099147241327096,1790728.3,895364.1499999999,1070130.2,720598.1,174766.05
-6037382466919657114,3,3.955414,1.3184713333333333,0.46876853012713593,0.3555394177149112,2727273.05,1363636.525,1726568.7,1000704.35,362932.175
-9222686125398052654,3,2.0930180000000003,0.6976726666666667,0.4541397218891512,0.6509352359451536,2743970.283333333,1371985.1416666666,1744632.9833333334,999337.3,372647.8416666667
-386134350729549893,3,2.17882,0.7262733333333333,0.284331965341375,0.3914944309415762,2604129.7,1302064.85,1951266.3833333333,652863.3166666667,649201.5333333333
-5780912829483546055,3,4.6067409999999995,1.535580333333333,0.43639236655738556,0.28418725942529804,3874122.85,1937061.4249999998,2559014.1666666665,1315108.6833333333,621952.7416666666
7552616777472526160,3,2.260759,0.7535863333333334,0.39890822443793034,0.5293464156567732,2679182.9833333334,1339591.4916666667,2130015.1333333333,549167.85,790423.6416666667
2780014001809233556,3,1.099308,0.366436,0.4294224992552983,1.1718894957244876,4217566.366666666,2108783.1833333336,3905170.8666666667,312395.5,1796387.6833333333
-3552210567883568621,3,1.386691,0.4622303333333333,0.3433144203751942,0.742734510518625,2044657.8666666667,1022328.9333333333,1753320.5166666666,291337.35,730991.5833333334
1614023380407214899,3,1.437226,0.4790753333333333,0.35590476831715656,0.7428993804394506,2349247.433333333,1174623.7166666668,2257522.966666667,91724.46666666666,1082899.25
4976831446984967585,3,5.267426,1.7558086666666668,0.8105595263825819,0.46164456399534526,1976025.45,988012.725,1464699.3666666667,511326.0833333333,476686.6416666667
-1841873699784121433,3,2.54456,0.8481866666666668,0.1646423547578879,0.19411099139877372,3255675.316666667,1627837.6583333332,3085765.1666666665,169910.15,1457927.5083333333
6939791270993371359,3,1.937141,0.6457136666666666,0.33618607578178417,0.5206426519005858,2150308.1,1075154.05,1200912.1666666667,949395.9333333333,125758.1166666667
8370757049912428314,3,2.539549,0.8465163333333333,0.9586985927799323,1.1325222621574922,1931099.05,965549.525,1689304.3666666667,241794.68333333332,723754.8416666667
-423849578347087868,3,0.79837,0.2661233333333333,0.12138355923087589,0.45611768690284915,1989665.0833333333,994832.5416666667,1285733.3,703931.7833333333,290900.75833333336
7612739409038911017,3,1.418098,0.47269933333333336,0.36943080960159363,0.7815344417697372,4472613.933333334,2236306.966666667,3947215.183333333,525398.75,1710908.2166666666
-7893915064785354576,3,4.504971,1.501657,0.5897035699778885,0.39270190861021426,1763696.2,881848.1,1237552.3833333333,526143.8166666667,355704.2833333333
-5749358794293433933,3,4.745918,1.5819726666666665,1.3242693205830736,0.8371000008321301,2345154.2666666666,1172577.1333333333,2036306.65,308847.61666666664,863729.5166666666
8924946085288933223,3,3.354122,1.1180406666666667,0.5019088037989461,0.4489182001718597,1816960.5,908480.25,1562872.2833333334,254088.21666666667,654392.0333333334
3969918074746339138,3,6.935843,2.3119476666666667,1.5496134789037628,0.6702632162682011,4656747.966666667,2328373.9833333334,2519944.8833333333,2136803.0833333335,191570.8999999999
-7365415819148051861,3,4.8214310000000005,1.6071436666666667,1.137885542199898,0.7080173140712153,2938414.6333333333,1469207.3166666667,2478219.3333333335,460195.3,1009012.0166666667
-3019750555812357938,3,8.119768,2.7065893333333335,0.9147618754198031,0.3379758665838001,792377.6333333333,396188.81666666665,411616.38333333336,380761.25,15427.56666666668
6301557864607067346,3,5.270031,1.756677,1.2102504127625822,0.6889430514332356,2983726.5,1491863.25,1531367.35,1452359.15,39504.10000000009
-7778675551866808573,3,3.8283340000000003,1.2761113333333334,1.1996737875317978,0.940101193520574,3587788.5166666666,1793894.2583333333,3053637.1,534151.4166666666,1259742.8416666668
-1385068090438082240,3,1.2631329999999998,0.4210443333333333,0.2731226335553724,0.6486790390767381,2056777.35,1028388.675,1130680.0,926097.35,102291.32500000001
-7292732022989405938,3,1.302191,0.4340636666666667,0.1502462925562188,0.3461388365214138,1199115.3666666667,599557.6833333333,699856.9333333333,499258.43333333335,100299.25
6916758848694649086,3,2.687099,0.8956996666666667,0.23914328212229213,0.2669904779715509,3875169.25,1937584.625,2007460.3333333333,1867708.9166666667,69875.70833333326
5543403708909103325,3,1.20135,0.40045,0.2836490287062517,0.7083257053471138,4123493.8,2061746.9000000001,3624908.316666667,498585.48333333334,1563161.4166666667
7206343275331644320,3,1.8590209999999998,0.6196736666666666,0.30063539627077995,0.4851511568789917,3749655.316666667,1874827.6583333332,2285084.55,1464570.7666666666,410256.8916666666
-117571949603870419,3,0.300493,0.10016433333333334,0.07883975934486073,0.7871041190130292,2464732.1166666667,1232366.0583333333,1464978.9833333334,999753.1333333333,232612.92500000005
-2095207651468857304,3,0.778786,0.25959533333333334,0.14791013589413748,0.5697719369408444,3530512.6333333333,1765256.3166666667,3253527.7333333334,276984.9,1488271.4166666667
-4208374431116337132,3,2.025903,0.675301,0.4539324132078108,0.6721927158523544,2977682.066666667,1488841.0333333332,1590031.6333333333,1387650.4333333333,101190.59999999999
